,Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Clicks,CTR,Avg. CPC,Impr.,Avg. cost,Cost,Campaign type,Bid strategy type,Campaign group,Original Conv Value,Predicted Conv Value 1,Predicted Conv Value 2
44,0,120,0,0,2.0,0,3,1,8,0.0105,0.19,760,0.19,1.55,3,7,0,6.21,0.23117200915855754,7.421476355247985
45,0,120,0,0,2.0,0,3,1,5,0.021099999999999997,0.3,237,0.3,1.52,3,7,0,0.0,0.23117200915855754,7.421476355247985
46,0,120,0,0,2.0,0,3,1,19,0.0091,0.1,2089,0.1,1.94,3,7,0,7.8,0.23117200915855754,7.421476355247985
47,0,120,0,0,2.0,0,3,1,11,0.0148,0.13,744,0.13,1.39,3,7,0,0.0,0.23117200915855754,7.421476355247985
48,0,120,0,0,2.0,0,3,1,9,0.0123,0.16,733,0.16,1.42,3,7,0,0.8,0.23117200915855754,7.421476355247985
49,0,120,0,0,2.0,0,3,1,21,0.011699999999999999,0.15,1801,0.15,3.17,3,7,0,0.0,0.23117200915855754,7.421476355247985
50,0,85,0,0,20.0,0,2,13,133,0.009399999999999999,0.22,14173,0.22,29.78,1,2,8,250.13,219.9967875647666,222.84756906077342
51,0,85,0,0,20.0,0,2,13,165,0.0125,0.26,13219,0.26,42.33,1,2,8,473.79,219.9967875647666,222.84756906077342
52,0,85,0,0,20.0,0,2,13,207,0.0103,0.26,20061,0.26,53.62,1,2,8,251.84,219.9967875647666,222.84756906077342
53,0,85,0,0,20.0,0,2,13,195,0.011899999999999999,0.26,16436,0.26,50.83,1,2,8,104.09,219.9967875647666,222.84756906077342
54,0,85,0,0,20.0,0,2,13,175,0.0113,0.28,15549,0.27,48.53,1,2,8,117.56,219.9967875647666,222.84756906077342
55,0,85,0,0,20.0,0,2,13,32,0.0121,0.2,2639,0.2,6.32,1,2,8,182.47,38.62744338933529,50.214585987261124
56,0,85,0,0,20.0,0,2,13,163,0.0098,0.35,16650,0.35,57.8,1,2,8,324.18,219.9967875647666,222.84756906077342
57,0,85,0,0,20.0,0,2,13,25,0.0106,0.57,2361,0.57,14.31,1,2,8,196.14,38.62744338933529,48.014200542005376
58,0,85,0,0,20.0,0,2,13,61,0.0079,0.37,7728,0.37,22.8,1,2,8,63.93,38.62744338933529,48.014200542005376
