Day,Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Clicks,CTR,Avg. CPC,Impr.,Avg. cost,Cost,Conv. value,Campaign type,Bid strategy type,Campaign group
2024-01-20,Removed,new all  04/12/2023,--,GBP,5,Daily,Removed,campaign removed; unknown,0,0%,0,11,0,0,0,Shopping,Target ROAS,--
2023-10-10,Paused,PH cable 07/10/2023,--,GBP,3,Daily,Paused,campaign paused; unknown,0,0%,0,2,0,0,0,Shopping,Maximize clicks,--
2024-01-18,Removed,new all  04/12/2023,--,GBP,5,Daily,Removed,campaign removed; unknown,0,0%,0,1,0,0,0,Shopping,Target ROAS,--
2024-03-21,Enabled,PMax: GOOGLE CSS-Ceiling Rose_Fitting CPC~sajeepan,--,GBP,6,Daily,Eligible,unknown,4,0.78%,0.51,513,0.25,2.03,0,Performance Max,Maximize Conversion Value,SAJE
2024-04-18,Enabled,PMax: GOOGLE CSS-Ceiling Rose_Fitting CPC~sajeepan,--,GBP,6,Daily,Eligible,unknown,7,9.46%,0.96,74,0.96,6.75,51.98,Performance Max,Maximize Conversion Value,SAJE
2024-03-12,Enabled,PMax: GOOGLE CSS-Ceiling Rose_Fitting CPC~sajeepan,--,GBP,6,Daily,Eligible,unknown,13,1.50%,0.35,866,0.32,4.52,6.88,Performance Max,Maximize Conversion Value,SAJE
2024-04-03,Enabled,PMax: GOOGLE CSS-Ceiling Rose_Fitting CPC~sajeepan,--,GBP,6,Daily,Eligible,unknown,8,20.51%,0.32,39,0.32,2.52,0,Performance Max,Maximize Conversion Value,SAJE
2024-04-12,Enabled,PMax: GOOGLE CSS-Ceiling Rose_Fitting CPC~sajeepan,--,GBP,6,Daily,Eligible,unknown,0,0%,0,1,0,0,0,Performance Max,Maximize Conversion Value,SAJE
2024-03-23,Enabled,PMax: GOOGLE CSS-Ceiling Rose_Fitting CPC~sajeepan,--,GBP,6,Daily,Eligible,unknown,5,50%,0.2,10,0.2,1.02,25.1,Performance Max,Maximize Conversion Value,SAJE
2024-04-30,Enabled,PMax: GOOGLE CSS-Ceiling Rose_Fitting CPC~sajeepan,--,GBP,6,Daily,Eligible,unknown,2,2.41%,2.69,83,2.69,5.37,198.19,Performance Max,Maximize Conversion Value,SAJE
2024-04-16,Enabled,PMax: GOOGLE CSS-Ceiling Rose_Fitting CPC~sajeepan,--,GBP,6,Daily,Eligible,unknown,20,1.45%,0.5,1382,0.36,9.94,12.37,Performance Max,Maximize Conversion Value,SAJE
2024-04-11,Enabled,PMax: GOOGLE CSS-Ceiling Rose_Fitting CPC~sajeepan,--,GBP,6,Daily,Eligible,unknown,3,50%,0.7,6,0.7,2.1,47.14,Performance Max,Maximize Conversion Value,SAJE
2024-04-05,Enabled,PMax: GOOGLE CSS-Ceiling Rose_Fitting CPC~sajeepan,--,GBP,6,Daily,Eligible,unknown,4,66.67%,0.14,6,0.14,0.56,0,Performance Max,Maximize Conversion Value,SAJE
2024-03-17,Enabled,PMax: GOOGLE CSS-Ceiling Rose_Fitting CPC~sajeepan,--,GBP,6,Daily,Eligible,unknown,13,0.79%,0.42,1642,0.28,5.4,12.75,Performance Max,Maximize Conversion Value,SAJE
2024-05-02,Enabled,PMax: GOOGLE CSS-Ceiling Rose_Fitting CPC~sajeepan,--,GBP,6,Daily,Eligible,unknown,3,25%,0.2,12,0.2,0.59,0,Performance Max,Maximize Conversion Value,SAJE
2024-05-14,Enabled,Thushanthuu=SHP=IMPRESSIONS=New led bulb,--,GBP,2,Daily,Eligible,unknown,5,2.30%,0.56,217,0.56,2.79,0,Performance Max,Maximize Conversion Value,DUSHAN
2024-05-09,Enabled,Thushanthuu=SHP=IMPRESSIONS=New led bulb,--,GBP,2,Daily,Eligible,unknown,0,0%,0,3,0,0,0,Performance Max,Maximize Conversion Value,DUSHAN
2023-12-07,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,108,0.95%,0.3,11358,0.3,32.38,123.25,Performance Max,Maximize Conversion Value,--
