campaign name,date,clicks,impressions,cost_micros,bidding_strategy_type,conversions,cost_per_conversion,Click-through rate (CTR),average cost per click (CPC),cost-per-acquisition (CPA),Cost,conversion_per_euro,budget,isholiday
SHOPTIMISED PMax-46 - all products-M,2024-04-28,108,9054,30138628,MAXIMIZE_CONVERSION_VALUE,4.161246,7242693.174,1.192842942,0.2790613704,7.242693174,30.138628,0.1380701869,30,0
SHOPTIMISED PMax-46 - all products-M,2024-04-29,84,7215,27270000,MAXIMIZE_CONVERSION_VALUE,4.99892,5455178.319,1.164241164,0.3246428571,5.455178319,27.27,0.1833120645,30,0
SHOPTIMISED PMax-46 - all products-M,2024-04-30,61,7728,22801087,MAXIMIZE_CONVERSION_VALUE,4,5700271.75,0.7893374741,0.3737883115,5.70027175,22.801087,0.1754302328,30,0
SHOPTIMISED PMax-46 - all products-M,2024-05-01,60,4777,20540000,MAXIMIZE_CONVERSION_VALUE,1,20540000,1.256018422,0.3423333333,20.54,20.54,0.04868549172,30,0
SHOPTIMISED PMax-46 - all products-M,2024-05-02,56,5741,29466921,MAXIMIZE_CONVERSION_VALUE,3.002452,9814285.457,0.9754398188,0.5261950179,9.814285457,29.466921,0.101892288,30,0
SHOPTIMISED PMax-46 - all products-M,2024-05-03,39,3954,20342796,MAXIMIZE_CONVERSION_VALUE,6.543285,3108957.657,0.9863429439,0.5216101538,3.108957657,20.342796,0.3216512125,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-04,62,6659,14450000,MAXIMIZE_CONVERSION_VALUE,1.25,11560000,0.9310707313,0.2330645161,11.56,14.45,0.08650519031,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-05,98,9772,28510000,MAXIMIZE_CONVERSION_VALUE,4.333333,6579231.275,1.00286533,0.2909183673,6.579231275,28.51,0.1519934409,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-06,70,8032,19310000,MAXIMIZE_CONVERSION_VALUE,3.004196,6427676.49,0.8715139442,0.2758571429,6.42767649,19.31,0.1555772139,20,1
SHOPTIMISED PMax-46 - all products-M,2024-05-07,79,5621,18680000,MAXIMIZE_CONVERSION_VALUE,3.404269,5487227.948,1.405443871,0.2364556962,5.487227948,18.68,0.1822413812,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-08,83,7590,22925110,MAXIMIZE_CONVERSION_VALUE,3.061707,7487689.057,1.093544137,0.2762061446,7.487689057,22.92511,0.1335525544,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-09,64,6623,17015897,MAXIMIZE_CONVERSION_VALUE,1,17015897,0.9663294579,0.2658733906,17.015897,17.015897,0.05876857388,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-10,66,6296,24500815,MAXIMIZE_CONVERSION_VALUE,3,8166938.333,1.048284625,0.3712244697,8.166938333,24.500815,0.1224449064,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-11,51,4101,17670090,MAXIMIZE_CONVERSION_VALUE,2,8835045,1.243599122,0.3464723529,8.835045,17.67009,0.1131856148,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-12,75,7653,26224621,MAXIMIZE_CONVERSION_VALUE,2,13112310.5,0.9800078401,0.3496616133,13.1123105,26.224621,0.07626420988,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-13,48,4335,21517871,MAXIMIZE_CONVERSION_VALUE,3,7172623.667,1.107266436,0.4482889792,7.172623667,21.517871,0.1394189974,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-14,30,2765,5520000,MAXIMIZE_CONVERSION_VALUE,1.333334,4139997.93,1.084990958,0.184,4.13999793,5.52,0.2415460145,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-15,84,8119,31000000,MAXIMIZE_CONVERSION_VALUE,5.00593,6192655.511,1.034610174,0.369047619,6.192655511,31,0.1614816129,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-16,58,5723,20450000,MAXIMIZE_CONVERSION_VALUE,2.91505,7015317.061,1.013454482,0.3525862069,7.015317061,20.45,0.1425452323,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-17,59,6297,22870000,MAXIMIZE_CONVERSION_VALUE,1.100247,20786241.63,0.9369541051,0.3876271186,20.78624163,22.87,0.04810874508,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-18,81,8337,22490000,MAXIMIZE_CONVERSION_VALUE,1.50186,14974764.63,0.9715725081,0.277654321,14.97476463,22.49,0.06677901289,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-19,69,7438,22150000,MAXIMIZE_CONVERSION_VALUE,2.83514,7812665.336,0.9276687282,0.3210144928,7.812665336,22.15,0.1279972912,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-20,65,6370,18470000,MAXIMIZE_CONVERSION_VALUE,1,18470000,1.020408163,0.2841538462,18.47,18.47,0.05414185165,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-21,53,4948,21190000,MAXIMIZE_CONVERSION_VALUE,4.500454,4708413.862,1.071139854,0.3998113208,4.708413862,21.19,0.212385748,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-22,33,2613,9540000,MAXIMIZE_CONVERSION_VALUE,1,9540000,1.262916188,0.2890909091,9.54,9.54,0.1048218029,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-23,57,4072,23360000,MAXIMIZE_CONVERSION_VALUE,2,11680000,1.399803536,0.4098245614,11.68,23.36,0.08561643836,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-24,48,3998,16060000,MAXIMIZE_CONVERSION_VALUE,1,16060000,1.2006003,0.3345833333,16.06,16.06,0.06226650062,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-25,63,6914,21680000,MAXIMIZE_CONVERSION_VALUE,0.998544,21711612.11,0.9111946775,0.3441269841,21.71161211,21.68,0.04605830258,20,0
SHOPTIMISED PMax-46 - all products-M,2024-05-26,68,6477,23620000,MAXIMIZE_CONVERSION_VALUE,3.25,7267692.308,1.049868766,0.3473529412,7.267692308,23.62,0.1375952583,20,0
